node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
record,WOS:000453643300005,WOS:000453643300005,,scoping or mapping review,social,0.33809998631477356,-5.005741,9.307967,12.089779,-14.065797,social
record,pubmed_27344405,pubmed_27344405,2016.0,narrative or expert review,psychological,0.3472000062465668,-3.7960281,1.3935684,2.3994796,9.469871,psychological
record,pubmed_26614718,pubmed_26614718,2016.0,narrative or expert review,psychological,0.3456000089645386,-2.9082866,2.1819382,4.5096755,6.299074,psychological
record,pubmed_26614715,pubmed_26614715,2016.0,narrative or expert review,biological,0.34850001335144043,-1.8423952,0.45539483,0.56075907,12.5370655,biological
record,pubmed_19289225,pubmed_19289225,2009.0,systematic review,biological,0.35010001063346863,3.865606,3.9740422,9.285199,1.2205036,biological
record,pubmed_40675665,pubmed_40675665,2025.0,systematic review,biological,0.3709999918937683,-6.432544,-1.3644985,4.3351927,16.123936,biological
record,pubmed_27325001,pubmed_27325001,2016.0,systematic review,psychological,0.35370001196861267,0.98085433,-1.5083231,-3.1155279,11.111162,psychological
record,pubmed_27246519,pubmed_27246519,2016.0,systematic review,psychological,0.34380000829696655,-6.1390104,-0.109383665,0.8149297,5.598672,psychological
record,pubmed_24602442,pubmed_24602442,2014.0,systematic review,psychological,0.3441999852657318,-2.5396237,-1.3270884,2.75345,5.140618,psychological
record,pubmed_28947182,pubmed_28947182,2018.0,systematic review,psychological,0.3443000018596649,-4.519932,-1.3926396,7.068545,8.240058,psychological
record,pubmed_22814445,pubmed_22814445,2012.0,systematic review,biological,0.3555999994277954,-3.0435276,8.5140295,13.737842,0.73870987,biological
record,pubmed_1477890,pubmed_1477890,1992.0,narrative or expert review,biological,0.34119999408721924,-4.559295,9.187707,9.426896,-8.049128,biological
record,pubmed_12948346,pubmed_12948346,2003.0,narrative or expert review,psychological,0.34929999709129333,-2.7998989,3.8080542,4.103106,4.411568,psychological
